epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3718,3.45272,28.9981,1.09727,0.05004,0.02903,0.0068,0.00185,3.23326,7.37913,0.97751,0.000654088,0.000654088,0.000654088
2,28.3234,2.91927,2.13791,0.94429,0.00051,0.00806,0.00021,8e-05,0.50294,1512.41,0.18549,0.00131204,0.00131204,0.00131204
3,42.1525,2.84432,2.01338,0.94844,0.00038,0.01935,0.00016,5e-05,2.93956,5697.75,0.90028,0.00196119,0.00196119,0.00196119
4,55.43,2.767,2.18563,0.92757,0.25577,0.00161,0.00752,0.00075,4.01446,6.92499,1.24124,0.0019604,0.0019604,0.0019604
5,69.2036,2.61716,1.94165,0.90469,0.27857,0.19032,0.11192,0.02062,3.64414,2.17374,0.99278,0.0019472,0.0019472,0.0019472
6,83.0682,2.59605,1.93918,0.90679,0.01992,0.01129,0.00617,0.00068,4.67376,4.59116,1.09116,0.001934,0.001934,0.001934
7,96.8592,2.5378,1.80269,0.89321,0.19777,0.21452,0.09424,0.01727,3.27412,2.59867,0.93036,0.0019208,0.0019208,0.0019208
8,110.617,2.48187,1.7161,0.89204,0.57855,0.36533,0.3486,0.08962,3.0246,1.97356,0.9151,0.0019076,0.0019076,0.0019076
9,124.526,2.38586,1.69503,0.86659,0.63159,0.50968,0.47761,0.12452,2.6855,1.81882,0.87664,0.0018944,0.0018944,0.0018944
10,138.377,2.41457,1.64754,0.87963,0.33821,0.24516,0.14484,0.02271,3.71397,1.91167,0.9651,0.0018812,0.0018812,0.0018812
11,152.149,2.4903,1.65837,0.89387,0.36418,0.29677,0.20198,0.04117,3.51042,1.76179,0.95082,0.001868,0.001868,0.001868
12,165.929,2.35202,1.59028,0.89555,0.31919,0.19032,0.10338,0.02154,3.97283,2.01362,1.01234,0.0018548,0.0018548,0.0018548
13,179.683,2.345,1.54925,0.88109,0.32745,0.22581,0.17712,0.03076,3.86715,1.97763,0.98658,0.0018416,0.0018416,0.0018416
14,193.447,2.3403,1.47371,0.88129,0.71333,0.5,0.49177,0.12066,2.69615,1.81192,0.87417,0.0018284,0.0018284,0.0018284
15,207.327,2.33401,1.56456,0.87425,0.08524,0.05323,0.01038,0.00185,4.63338,2.28608,1.10216,0.0018152,0.0018152,0.0018152
16,221.113,2.47713,1.60145,0.88005,0.71278,0.5371,0.58946,0.17123,2.5855,1.55256,0.87119,0.001802,0.001802,0.001802
17,234.961,2.36215,1.51023,0.87346,0.64492,0.50968,0.48368,0.10258,3.02175,1.58653,0.89516,0.0017888,0.0017888,0.0017888
18,248.745,2.37551,1.47218,0.88231,0.21493,0.19516,0.11063,0.02336,3.87136,1.9081,0.97334,0.0017756,0.0017756,0.0017756
19,262.531,2.27707,1.39195,0.86775,0.51049,0.39677,0.30099,0.045,3.43986,1.63856,0.92264,0.0017624,0.0017624,0.0017624
20,276.525,2.29635,1.45705,0.87183,0.47143,0.3956,0.31933,0.06015,3.28267,1.87788,0.92475,0.0017492,0.0017492,0.0017492
21,290.307,2.28088,1.43144,0.86826,0.4818,0.3944,0.28109,0.06799,3.1052,1.56021,0.90441,0.001736,0.001736,0.001736
22,304.044,2.24711,1.36958,0.8631,0.50292,0.40968,0.34205,0.07586,3.16055,1.84434,0.91426,0.0017228,0.0017228,0.0017228
23,317.876,2.12453,1.34246,0.85163,0.18223,0.16534,0.06325,0.01101,4.06785,1.97036,1.00229,0.0017096,0.0017096,0.0017096
24,331.637,2.19544,1.34432,0.86115,0.0871,0.07742,0.01824,0.00292,4.36427,1.9616,1.0421,0.0016964,0.0016964,0.0016964
25,345.451,2.18649,1.33215,0.86128,0.74132,0.54542,0.58639,0.15191,2.67915,1.53106,0.86767,0.0016832,0.0016832,0.0016832
26,359.229,2.05532,1.33512,0.84224,0.79307,0.59341,0.67246,0.25361,2.2453,1.43035,0.84331,0.00167,0.00167,0.00167
27,373.12,2.19882,1.32541,0.85923,0.08771,0.03548,0.01326,0.00193,4.77555,2.07846,1.0973,0.0016568,0.0016568,0.0016568
28,386.891,2.14497,1.34052,0.85122,0.78355,0.64677,0.7054,0.2137,2.44708,1.41994,0.85109,0.0016436,0.0016436,0.0016436
29,400.663,2.18379,1.30439,0.86041,0.24267,0.18387,0.09771,0.02114,3.82638,1.87375,0.97835,0.0016304,0.0016304,0.0016304
30,414.446,2.14857,1.32221,0.85416,0.68606,0.54032,0.54258,0.12865,2.85314,1.43617,0.8797,0.0016172,0.0016172,0.0016172
31,428.231,2.06171,1.28261,0.84293,0.67583,0.61129,0.59719,0.15895,2.64915,1.49074,0.86446,0.001604,0.001604,0.001604
32,442.013,2.0943,1.24047,0.86906,0.79644,0.59951,0.66445,0.20159,2.55304,1.33718,0.86136,0.0015908,0.0015908,0.0015908
33,455.811,2.10966,1.26927,0.85958,0.6198,0.5,0.47496,0.12861,2.89453,1.5184,0.88525,0.0015776,0.0015776,0.0015776
34,469.623,2.10513,1.23409,0.85689,0.80963,0.6371,0.70732,0.2634,2.25224,1.30656,0.84463,0.0015644,0.0015644,0.0015644
35,483.492,2.09655,1.247,0.85663,0.76168,0.66498,0.67543,0.17057,2.65452,1.46022,0.86129,0.0015512,0.0015512,0.0015512
36,497.24,1.99224,1.19186,0.84176,0.75149,0.60966,0.63134,0.19402,2.55429,1.37669,0.8631,0.001538,0.001538,0.001538
37,511.046,1.96659,1.1641,0.83885,0.66622,0.55645,0.51494,0.14156,2.83903,1.36495,0.87959,0.0015248,0.0015248,0.0015248
38,524.818,2.05408,1.17441,0.85597,0.87499,0.67736,0.76914,0.33596,1.98738,1.20334,0.82397,0.0015116,0.0015116,0.0015116
39,538.684,2.01616,1.16559,0.85105,0.81332,0.69567,0.75698,0.34133,1.8056,1.27419,0.81475,0.0014984,0.0014984,0.0014984
40,552.529,2.008,1.17296,0.84154,0.85301,0.66452,0.74263,0.25445,2.38742,1.3317,0.84505,0.0014852,0.0014852,0.0014852
41,566.343,1.94069,1.16534,0.84654,0.81617,0.67258,0.72232,0.20221,2.62962,1.41043,0.86013,0.001472,0.001472,0.001472
42,580.089,1.9258,1.11557,0.84446,0.48629,0.39392,0.30367,0.06949,3.32192,1.4263,0.92485,0.0014588,0.0014588,0.0014588
43,593.874,2.0304,1.14319,0.84507,0.80128,0.68939,0.75325,0.37654,1.75935,1.22088,0.80933,0.0014456,0.0014456,0.0014456
44,607.7,1.99609,1.10601,0.839,0.6189,0.51613,0.47614,0.11032,3.01066,1.52421,0.894,0.0014324,0.0014324,0.0014324
45,621.504,1.94075,1.08782,0.8464,0.69889,0.56935,0.53575,0.12332,2.98655,1.37059,0.88588,0.0014192,0.0014192,0.0014192
46,635.277,1.95662,1.14067,0.84,0.53158,0.48138,0.40792,0.09204,3.11401,1.49008,0.90889,0.001406,0.001406,0.001406
47,649.043,1.88761,1.04492,0.83128,0.74132,0.59628,0.60801,0.11427,3.11781,1.44425,0.89618,0.0013928,0.0013928,0.0013928
48,662.828,1.89172,1.06965,0.82846,0.80593,0.6966,0.74467,0.25003,2.33686,1.25395,0.84002,0.0013796,0.0013796,0.0013796
49,676.627,1.94678,1.13339,0.84757,0.79963,0.67581,0.75155,0.29477,2.07785,1.24018,0.82814,0.0013664,0.0013664,0.0013664
50,690.432,1.87228,1.12505,0.84488,0.74449,0.69085,0.72415,0.23326,2.50954,1.30862,0.84936,0.0013532,0.0013532,0.0013532
